context,question,text,original_index
"Everton have had many other nicknames over the years. When the black kit was worn Everton were nicknamed ""The Black Watch"", after the famous army regiment. Since going blue in 1901, Everton have been given the simple nickname ""The Blues"". Everton's attractive style of play led to Steve Bloomer calling the team ""scientific"" in 1928, which is thought to have inspired the nickname ""The School of Science"". The battling 1995 FA Cup winning side were known as ""The Dogs of War"". When David Moyes arrived as manager he proclaimed Everton as ""The People's Club"", which has been adopted as a semi-official club nickname.",What is Everton Football Club's semi-official club nickname?,The People's Club,13465
"Citizens were organized on the basis of centuries and tribes, which would each gather into their own assemblies. The Comitia Centuriata (""Centuriate Assembly"") was the assembly of the centuries (i.e. soldiers). The president of the Comitia Centuriata was usually a consul. The centuries would vote, one at a time, until a measure received support from a majority of the centuries. The Comitia Centuriata would elect magistrates who had imperium powers (consuls and praetors). It also elected censors. Only the Comitia Centuriata could declare war, and ratify the results of a census. It also served as the highest court of appeal in certain judicial cases.",Would the Comitia Centuriata occasionally be called upon to serve as the highest court of appeal?,It also served as the highest court of appeal in certain judicial cases,13471
"For 2016, U.S. News & World Report ranked BYU as tied for 66th for national universities in the United States. A 2013 Quarterly Journal of Economics study of where the nation's top high school students choose to enroll ranked BYU No. 21 in its peer-reviewed study. The Princeton Review has ranked BYU the best value for college in 2007, and its library is consistently ranked in the nation's top ten — No. 1 in 2004 and No. 4 in 2007. BYU is also ranked No. 19 in the U.S. News and World Report's ""Great Schools, Great Prices"" lineup, and No. 12 in lowest student-incurred debt. Due in part to the school's emphasis on undergraduate research, in rankings for 2008-2009, BYU was ranked No. 10 nationally for the number of students who go on to earn PhDs, No. 1 nationally for students who go on to dental school, No. 6 nationally for students who go on to law school, and No. 10 nationally for students who go on to medical school. BYU is designated as a research university with high research activity by the Carnegie Foundation for the Advancement of Teaching.]] Forbes Magazine ranked it as the No. 1 ""Top University to Work For in 2014"" and as the best college in Utah.","In 2008-2009, how was BYU ranked nationally for the number of students who go on to earn PhDs?",No. 10,13476
" Macao: The event was held in Macau on May 3. It was the first time that the Olympic torch had traveled to Macau. A ceremony was held at Macau Fisherman's Wharf. Afterward, the torch traveled through Macau, passing by a number of landmarks including A-Ma Temple, Macau Tower, Ponte Governador Nobre de Carvalho, Ponte de Sai Van, Macau Cultural Centre, Macau Stadium and then back to the Fisherman's Wharf for the closing ceremony. Parts of the route near Ruins of St. Paul's and Taipa was shortened due to large crowds of supporters blocking narrow streets. A total of 120 torchbearers participated in this event including casino tycoon Stanley Ho. Leong Hong Man and Leong Heng Teng were the first and last torchbearer in the relay respectively. An article published on Macao Daily News criticized that the list of the torchbearers could not fully represent the Macanese and that there were too many non-athletes among the torchbearers. (some of whom had already been torchbearers of other sporting events)",Where was the torch ceremony held in Macao?,Macau Fisherman's Wharf,13477
"In July 1943, as a result of the American Federation of Musicians boycott of US recording studios, the a cappella vocal group The Song Spinners had a best-seller with ""Comin' In On A Wing And A Prayer"". In the 1950s several recording groups, notably The Hi-Los and the Four Freshmen, introduced complex jazz harmonies to a cappella performances. The King's Singers are credited with promoting interest in small-group a cappella performances in the 1960s. In 1983 an a cappella group known as The Flying Pickets had a Christmas 'number one' in the UK with a cover of Yazoo's (known in the US as Yaz) ""Only You"". A cappella music attained renewed prominence from the late 1980s onward, spurred by the success of Top 40 recordings by artists such as The Manhattan Transfer, Bobby McFerrin, Huey Lewis and the News, All-4-One, The Nylons, Backstreet Boys and Boyz II Men.[citation needed]",Who is credited for first introducing elements of Jazz into a cappella?,The Hi-Los and the Four Freshmen,13478
"The Supervisory Board meets twice a month to discuss, plan and carry out the ECB’s supervisory tasks. It proposes draft decisions to the Governing Council under the non-objection procedure. It is composed of Chair (appointed for a non-renewable term of five years), Vice-Chair (chosen from among the members of the ECB's Executive Board) four ECB representatives and representatives of national supervisors. If the national supervisory authority designated by a Member State is not a national central bank (NCB), the representative of the competent authority can be accompanied by a representative from their NCB. In such cases, the representatives are together considered as one member for the purposes of the voting procedure.",What happens if the national supervisory authority designated by a Member State is not a national central bank?,the representative of the competent authority can be accompanied by a representative from their NCB,13479
"As musicians depended more and more on public support, public concerts became increasingly popular and helped supplement performers' and composers' incomes. The concerts also helped them to reach a wider audience. Handel, for example, epitomized this with his highly public musical activities in London. He gained considerable fame there with performances of his operas and oratorios. The music of Haydn and Mozart, with their Viennese Classical styles, are usually regarded as being the most in line with the Enlightenment ideals.",What style of music did Haydn and Mozart share?,Viennese Classical,13480
"Nasser was known for his intimate relationship with ordinary Egyptians. His availability to the public, despite assassination attempts against him, was unparalleled among his successors. A skilled orator, Nasser gave 1,359 speeches between 1953 and 1970, a record for any Egyptian head of state. Historian Elie Podeh wrote that a constant theme of Nasser's image was ""his ability to represent Egyptian authenticity, in triumph or defeat"". The national press also helped to foster his popularity and profile—more so after the nationalization of state media. Historian Tarek Osman wrote:",How many speeches did Nasser give?,"1,359",13481
"Other important sectors include medical research and technology, non-profit institutions, and universities. Manufacturing accounts for a significant but declining share of employment, although the city's garment industry is showing a resurgence in Brooklyn. Food processing is a US$5 billion industry that employs more than 19,000 residents.",What is the annual revenue of the food processing industry?,US$5 billion,13483
"After 13 months at the hospital, Broz was sent to a work camp in the Ural Mountains where prisoners selected him for their camp leader. In February 1917, revolting workers broke into the prison and freed the prisoners. Broz subsequently joined a Bolshevik group. In April 1917, he was arrested again but managed to escape and participate in the July Days demonstrations in Petrograd (St. Petersburg) on 16–17 July 1917. On his way to Finland, Broz was caught and imprisoned in the Peter and Paul Fortress for three weeks. He was again sent to Kungur, but escaped from the train. He hid with a Russian family in Omsk, Siberia where he met his future wife Pelagija Belousova. After the October Revolution, he joined a Red Guard unit in Omsk. Following a White counteroffensive, he fled to Kirgiziya and subsequently returned to Omsk, where he married Belousova. In the spring of 1918, he joined the Yugoslav section of the Russian Communist Party. By June of the same year, Broz left Omsk to find work and support his family, and was employed as a mechanic near Omsk for a year.",Where did Broz marry Belousova?,Omsk,13484
"Some skyscraper buildings and other types of installation feature a destination operating panel where a passenger registers their floor calls before entering the car. The system lets them know which car to wait for, instead of everyone boarding the next car. In this way, travel time is reduced as the elevator makes fewer stops for individual passengers, and the computer distributes adjacent stops to different cars in the bank. Although travel time is reduced, passenger waiting times may be longer as they will not necessarily be allocated the next car to depart. During the down peak period the benefit of destination control will be limited as passengers have a common destination.","What function does a ""destination operating panel"" feature?",a passenger registers their floor calls before entering the car,13485
"The Arena Football League (AFL) is the highest level of professional indoor American football in the United States. It was founded in 1987 by Jim Foster, making it the third longest-running professional football league in North America, after the Canadian Football League and the National Football League. It is played indoors on a 68-yard field (about half the distance of an NFL field), resulting in a faster-paced and higher-scoring game. The sport was invented in the early 1980s and patented by Foster, a former executive of the United States Football League and the National Football League.",What fraction of the size of an NFL football field is an arena football field?,half,13486
"Four days after his birth, Apollo killed the chthonic dragon Python, which lived in Delphi beside the Castalian Spring. This was the spring which emitted vapors that caused the oracle at Delphi to give her prophecies. Hera sent the serpent to hunt Leto to her death across the world. To protect his mother, Apollo begged Hephaestus for a bow and arrows. After receiving them, Apollo cornered Python in the sacred cave at Delphi. Apollo killed Python but had to be punished for it, since Python was a child of Gaia.",Who was a parent of Python?,Gaia,13487
"The traditional energy supply of Thuringia is lignite, mined in the bordering Leipzig region. Since 2000, the importance of environmentally unfriendly lignite combustion has declined in favour of renewable energies, which reached an amount of 40% (in 2013), and more clean gas combustion, often carried out as Cogeneration in the municipal power stations. The most important forms of renewable energies are Wind power and Biomass, followed by Solar energy and Hydroelectricity. Furthermore, Thuringia hosts two big pumped storage stations: the Goldisthal Pumped Storage Station and the Hohenwarte Dam.",What is Thuringia's traditional energy supply?,lignite,13488
"The 19th century brought new standards of accuracy and style. In regard to accuracy, observes J.M. Cohen, the policy became ""the text, the whole text, and nothing but the text"", except for any bawdy passages and the addition of copious explanatory footnotes. In regard to style, the Victorians' aim, achieved through far-reaching metaphrase (literality) or pseudo-metaphrase, was to constantly remind readers that they were reading a foreign classic. An exception was the outstanding translation in this period, Edward FitzGerald's Rubaiyat of Omar Khayyam (1859), which achieved its Oriental flavor largely by using Persian names and discreet Biblical echoes and actually drew little of its material from the Persian original.",How did the translation of Rubaiyat achieve an Oriental flavor?,by using Persian names and discreet Biblical echoes,13491
"City transportation in Strasbourg includes the futurist-looking Strasbourg tramway that opened in 1994 and is operated by the regional transit company Compagnie des Transports Strasbourgeois (CTS), consisting of 6 lines with a total length of 55.8 km (34.7 mi). The CTS also operates a comprehensive bus network throughout the city that is integrated with the trams. With more than 500 km (311 mi) of bicycle paths, biking in the city is convenient and the CTS operates a cheap bike-sharing scheme named Vélhop'. The CTS, and its predecessors, also operated a previous generation of tram system between 1878 and 1960, complemented by trolleybus routes between 1939 and 1962.",What is the length of the Strasbourg tramway in total?,55.8 km,13492
"There are many different patterns of gas exchange demonstrated by different groups of insects. Gas exchange patterns in insects can range from continuous and diffusive ventilation, to discontinuous gas exchange.:65–68 During continuous gas exchange, oxygen is taken in and carbon dioxide is released in a continuous cycle. In discontinuous gas exchange, however, the insect takes in oxygen while it is active and small amounts of carbon dioxide are released when the insect is at rest. Diffusive ventilation is simply a form of continuous gas exchange that occurs by diffusion rather than physically taking in the oxygen. Some species of insect that are submerged also have adaptations to aid in respiration. As larvae, many insects have gills that can extract oxygen dissolved in water, while others need to rise to the water surface to replenish air supplies which may be held or trapped in special structures.",Gas exchange patterns can contain what kind of ventilation?,diffusive ventilation,13508
"Fluidity of racial categories aside, the ""biologification"" of race in Brazil referred above would match contemporary concepts of race in the United States quite closely, though, if Brazilians are supposed to choose their race as one among, Asian and Indigenous apart, three IBGE's census categories. While assimilated Amerindians and people with very high quantities of Amerindian ancestry are usually grouped as caboclos, a subgroup of pardos which roughly translates as both mestizo and hillbilly, for those of lower quantity of Amerindian descent a higher European genetic contribution is expected to be grouped as a pardo. In several genetic tests, people with less than 60-65% of European descent and 5-10% of Amerindian descent usually cluster with Afro-Brazilians (as reported by the individuals), or 6.9% of the population, and those with about 45% or more of Subsaharan contribution most times do so (in average, Afro-Brazilian DNA was reported to be about 50% Subsaharan African, 37% European and 13% Amerindian).",What do people with less than 60-65% of European descent usually cluster with?,Afro-Brazilians,13509
"Pascal Lissouba, who became Congo's first elected president (1992–1997) during the period of multi-party democracy, attempted to implement economic reforms with IMF backing to liberalise the economy. In June 1996 the IMF approved a three-year SDR69.5m (US$100m) enhanced structural adjustment facility (ESAF) and was on the verge of announcing a renewed annual agreement when civil war broke out in Congo in mid-1997.",Who was elected president of the Congo in 1992?,Pascal Lissouba,13510
"Although the numbered streets begin just north of East Houston Street in the East Village, they generally do not extend west into Greenwich Village, which already had streets when the grid plan was laid out by the Commissioners' Plan of 1811. Streets that do continue farther west change direction before reaching the Hudson River. The grid covers the length of the island from 14th Street north.",Which street do numbered streets begin just north of?,East Houston Street,13512
"The Clerk of the Parliaments, an official of the House of Lords, traditionally states a formula in Anglo-Norman Law French, indicating the sovereign's decision. The granting of royal assent to a supply bill is indicated with the words ""La Reyne remercie ses bons sujets, accepte leur benevolence, et ainsi le veult"", translated as ""The Queen thanks her good subjects, accepts their bounty, and wills it so."" For other public or private bills, the formula is simply ""La Reyne le veult"" (""the Queen wills it""). For personal bills, the phrase is ""Soit fait comme il est désiré"" (""let it be as it is desired""). The appropriate formula for withholding assent is the euphemistic ""La Reyne s'avisera"" (""the Queen will consider it""). When the sovereign is male, Le Roy is substituted for La Reyne.",What words in Anglo-Norman Law French announce a granted assent?,"""La Reyne remercie ses bons sujets, accepte leur benevolence, et ainsi le veult""",13515
"Some of these estimates also take into account the opportunity cost of investing capital many years before revenues are realized (see Time-value of money). Because of the very long time needed for discovery, development, and approval of pharmaceuticals, these costs can accumulate to nearly half the total expense. A direct consequence within the pharmaceutical industry value chain is that major pharmaceutical multinationals tend to increasingly outsource risks related to fundamental research, which somewhat reshapes the industry ecosystem with biotechnology companies playing an increasingly important role, and overall strategies being redefined accordingly. Some approved drugs, such as those based on re-formulation of an existing active ingredient (also referred to as Line-extensions) are much less expensive to develop.",What happens when companies outsource?,somewhat reshapes the industry ecosystem with biotechnology companies,13518
"The word ""police"" was borrowed from French into the English language in the 18th century, but for a long time it applied only to French and continental European police forces. The word, and the concept of police itself, were ""disliked as a symbol of foreign oppression"" (according to Britannica 1911). Before the 19th century, the first use of the word ""police"" recorded in government documents in the United Kingdom was the appointment of Commissioners of Police for Scotland in 1714 and the creation of the Marine Police in 1798.",Which dictionary said police were 'a symbol of foreign oppression'?,Britannica 1911,13519
"In 1970 the country switched its currency from the Bermudian pound to the Bermudian dollar, which is pegged at par with the US dollar. US notes and coins are used interchangeably with Bermudian notes and coins within the islands for most practical purposes; however, banks levy an exchange rate fee for the purchase of US dollars with Bermudian dollars. Bermudian notes carry the image of Queen Elizabeth II. The Bermuda Monetary Authority is the issuing authority for all banknotes and coins, and regulates financial institutions. The Royal Naval Dockyard Museum holds a permanent exhibition of Bermuda notes and coins.",Who regulates all financial institutions as well as the issuing of money?,Bermuda Monetary Authority,13522
"In 1957, Braunstein further demonstrated that the rudimentary devices could be used for non-radio communication across a short distance. As noted by Kroemer Braunstein"".. had set up a simple optical communications link: Music emerging from a record player was used via suitable electronics to modulate the forward current of a GaAs diode. The emitted light was detected by a PbS diode some distance away. This signal was fed into an audio amplifier, and played back by a loudspeaker. Intercepting the beam stopped the music. We had a great deal of fun playing with this setup."" This setup presaged the use of LEDs for optical communication applications.",What year was it discovered that early LED instruments could be used for non-radio communication?,1957,13523
"As a Southern Gothic novel and a Bildungsroman, the primary themes of To Kill a Mockingbird involve racial injustice and the destruction of innocence. Scholars have noted that Lee also addresses issues of class, courage, compassion, and gender roles in the American Deep South. The book is widely taught in schools in the United States with lessons that emphasize tolerance and decry prejudice. Despite its themes, To Kill a Mockingbird has been subject to campaigns for removal from public classrooms, often challenged for its use of racial epithets.",What has caused  the use of the novel in classrooms to be challenged?,racial epithets,13524
"Northwestern was elected to the Association of American Universities in 1917 and remains a research university with ""very high"" research activity. Northwestern's schools of management, engineering, and communication are among the most academically productive in the nation. Northwestern received $550 million in research funding in 2014. Northwestern supports nearly 1,500 research laboratories across two campuses, predominately in the medical and biological sciences. Through the Innovation and New Ventures Office (INVO), Northwestern researchers disclosed 247 inventions, filed 270 patents applications, received 81 foreign and US patents, started 12 companies, and generated $79.8 million in licensing revenue in 2013. The bulk of revenue has come from a patent on pregabalin, a synthesized organic molecule discovered by chemistry professor Richard Silverman, which ultimately was marketed as Lyrica, a drug sold by Pfizer, to combat epilepsy, neuropathic pain, and fibromyalgia. INVO has been involved in creating a number of centers, including the Center for Developmental Therapeutics (CDT) and the Center for Device Development (CD2). It has also helped form over 50 Northwestern startup companies based on Northwestern technologies.",Which of Northwestern's schools are among the most academically productive in the nation?,"management, engineering, and communication",13525
"During his annual state-of-the-nation address on September 2, 2014, President of Mexico Enrique Peña Nieto unveiled plans for a new international airport to ease the city's notorious air traffic congestion, tentatively slated for a 2018 opening. The new airport, which would have six runways, will cost $9.15 billion and would be built on vacant federal land east of Mexico City International Airport. Goals are to eventually handle 120 million passengers a year, which would make it the busiest airport in the world.",How many passengers will the new airport be able to handle?,120 million,13526
"Religion is extremely important to the Tibetans and has a strong influence over all aspects of their lives. Bön is the ancient religion of Tibet, but has been almost eclipsed by Tibetan Buddhism, a distinctive form of Mahayana and Vajrayana, which was introduced into Tibet from the Sanskrit Buddhist tradition of northern India. Tibetan Buddhism is practiced not only in Tibet but also in Mongolia, parts of northern India, the Buryat Republic, the Tuva Republic, and in the Republic of Kalmykia and some other parts of China. During China's Cultural Revolution, nearly all Tibet's monasteries were ransacked and destroyed by the Red Guards. A few monasteries have begun to rebuild since the 1980s (with limited support from the Chinese government) and greater religious freedom has been granted – although it is still limited. Monks returned to monasteries across Tibet and monastic education resumed even though the number of monks imposed is strictly limited. Before the 1950s, between 10 and 20% of males in Tibet were monks.",What is the ancient religion of Tibet?,Bön,13527
"Saint Barthélemy, a volcanic island fully encircled by shallow reefs, has an area of 25 square kilometres (9.7 sq mi) and a population of 9,035 (Jan. 2011 estimate). Its capital is Gustavia[citation needed], which also contains the main harbour to the island. It is the only Caribbean island which was a Swedish colony for any significant length of time; Guadeloupe was under Swedish rule only briefly at the end of the Napoleonic Wars. Symbolism from the Swedish national arms, the Three Crowns, still appears in the island's coat of arms. The language, cuisine, and culture, however, are distinctly French. The island is a popular tourist destination during the winter holiday season, especially for the rich and famous during the Christmas and new year period.",What country besides France had colonies on the island for a substantial period of time?,Swedish,13528
"Due to geographical proximity of the Central American countries to the U.S. which has powerful military, economic, and political influences, there were several movements and proposals by the United States during the 19th and 20th centuries to annex some or all of the Central American republics (Costa Rica, El Salvador, Guatemala, Honduras with the formerly British-ruled Bay Islands, Nicaragua, Panama which had the U.S.-ruled Canal Zone territory from 1903 to 1979, and formerly British Honduras or Belize since 1981). However, the U.S. never acted on these proposals from some U.S. politicians; some of which were never delivered or considered seriously. In 2001, El Salvador adopted the U.S. dollar as its currency, while Panama has used it for decades due to its ties to the Canal Zone.",When did El Salvador adopt the US Dollar as its currency?,2001,13529
"The Chief Deputy Whip is the primary assistant to the whip, who is the chief vote counter for his or her party. The current chief deputy majority whip is Republican Patrick McHenry. Within the House Republican Conference, the chief deputy whip is the highest appointed position and often a launching pad for future positions in the House Leadership. The House Democratic Conference has multiple chief deputy whips, led by a Senior Chief Deputy Whip, which is the highest appointed position within the House Democratic Caucus. The current senior chief deputy minority whip, John Lewis, has held his post since 1991.",How long has democratic leader of whips held position?,"senior chief deputy minority whip, John Lewis, has held his post since 1991",13531
"A fervent follower of the absolutist cause, Elío had played an important role in the repression of the supporters of the Constitution of 1812. For this, he was arrested in 1820 and executed in 1822 by garroting. Conflict between absolutists and liberals continued, and in the period of conservative rule called the Ominous Decade (1823–1833), which followed the Trienio Liberal, there was ruthless repression by government forces and the Catholic Inquisition. The last victim of the Inquisition was Gaietà Ripoli, a teacher accused of being a deist and a Mason who was hanged in Valencia in 1824.",Who helped repress the supporters of the Constitution and was later executed for it?,Elío,13535
"Palermo is Sicily's cultural, economic and touristic capital. It is a city rich in history, culture, art, music and food. Numerous tourists are attracted to the city for its good Mediterranean weather, its renowned gastronomy and restaurants, its Romanesque, Gothic and Baroque churches, palaces and buildings, and its nightlife and music. Palermo is the main Sicilian industrial and commercial center: the main industrial sectors include tourism, services, commerce and agriculture. Palermo currently has an international airport, and a significant underground economy.[citation needed] In fact, for cultural, artistic and economic reasons, Palermo was one of the largest cities in the Mediterranean and is now among the top tourist destinations in both Italy and Europe. The city is also going through careful redevelopment, preparing to become one of the major cities of the Euro-Mediterranean area.",What types of churches attract tourists to Palermo?,"Romanesque, Gothic and Baroque",13536
"The maximum distance at which a gun or missile can engage an aircraft is an important figure. However, many different definitions are used but unless the same definition is used, performance of different guns or missiles cannot be compared. For AA guns only the ascending part of the trajectory can be usefully used. One term is 'ceiling', maximum ceiling being the height a projectile would reach if fired vertically, not practically useful in itself as few AA guns are able to fire vertically, and maximum fuse duration may be too short, but potentially useful as a standard to compare different weapons.",What is an important number when it comes to guns engaging an aircraft?,The maximum distance,13538
"Great Britain lost Minorca in the Mediterranean to the French in 1756 but captured the French colonies in Senegal in 1758. The British Royal Navy took the French sugar colonies of Guadeloupe in 1759 and Martinique in 1762 as well as the Spanish cities of Havana in Cuba, and Manila in the Philippines, both prominent Spanish colonial cities. However, expansion into the hinterlands of both cities met with stiff resistance. In the Philippines, the British were confined to Manila until their agreed upon withdrawal at the war's end.",What island did Great Britain lose in 1756?,Great Britain lost Minorca in the Mediterranean to the French in 1756,13539
